tweet_original;tweet_preprocesado;puntaje_positivo;puntaje_negativo;sentimiento_calculado;sentimiento;tiempo_fuzz;tiempo_defuzz;tiempo_total
just blocked united blood services using google voice they call more than those car warranty guys;blocked united blood service using google voice call car warranty guy;0.2;0.15;5.23;Neutro;0.00010514259338378906;0.00997018814086914;0.01007533073425293
at amp t is complete fail;amp complete fail;0.0;0.64;1.77;Negativo;0.0001251697540283203;0.008938312530517578;0.009063482284545898
oh snap you work at at amp t don t you;oh snap work amp;0.0;0.0;5.0;Neutro;0.00011301040649414062;0.014059782028198242;0.014172792434692383
i really dont want at amp t phone service they suck when it comes to having a signal;really dont want amp phone service suck come signal;0.0;0.39;3.38;Neutro;9.083747863769531e-05;0.011354207992553711;0.011445045471191406
i say we just cut out the small talk at amp t s new slogan f__k you give us your money apologies to bob geldof;say cut small talk amp new slogan f give u money apology bob geldof;0.09;0.16;4.86;Neutro;0.00013446807861328125;0.01133871078491211;0.01147317886352539
pissed about at amp t s mid contract upgrade price for the iphone it s more i m not going to pay for something i thought was;pissed amp mid contract upgrade price iphone going pay something thought;0.0;0.38;3.48;Neutro;0.00015091896057128906;0.011138677597045898;0.011289596557617188
safari is fast even on my shitty at amp t tethering;safari fast even shitty amp tethering;0.0;0.42;3.04;Negativo;8.869171142578125e-05;0.01132655143737793;0.011415243148803711
what is at amp t fucking up;amp fucking;0.0;0.0;5.0;Neutro;0.00012350082397460938;0.01440882682800293;0.014532327651977539
at amp t dropped the ball and isn t supporting crap with the new iphone fail att sucks;amp dropped ball supporting crap new iphone fail att suck;0.16;0.5;3.97;Neutro;0.00011515617370605469;0.011315107345581055;0.01143026351928711
yay glad you got the phone still damn you at amp t;yay glad got phone still damn amp;0.49;0.21;5.82;Neutro;0.0001239776611328125;0.010697364807128906;0.010821342468261719
talk is cheap bing that i ll stick with google;talk cheap bing stick google;0.0;0.0;5.0;Neutro;0.000133514404296875;0.01457524299621582;0.014708757400512695
wtf is the point of deleting tweets if they can still be found in summize and searches twitter please fix that thanks and bye;wtf point deleting tweet still found summize search twitter please fix thanks bye;0.27;0.2;5.41;Neutro;0.00010895729064941406;0.009723663330078125;0.009832620620727539
i love google translator too d good day mate;love google translator good day mate;0.64;0.0;8.12;Positivo;0.00010943412780761719;0.008272886276245117;0.008382320404052734
reading on my new kindle;reading new kindle;0.0;0.0;5.0;Neutro;0.00010371208190917969;0.01431131362915039;0.01441502571105957
my kindle came and i love it;kindle came love;0.68;0.0;8.07;Positivo;0.00010085105895996094;0.008152008056640625;0.008252859115600586
loving my new kindle named her kendra in case u were wondering the cookbook is the tool cuz it tells u all the tricks best gift evr;loving new kindle named kendra case u wondering cookbook tool cuz tell u trick best gift evr;0.47;0.05;7.38;Positivo;0.00011086463928222656;0.011580944061279297;0.011691808700561523
the real aig scandal;real aig scandal;0.0;0.59;1.71;Negativo;0.0001239776611328125;0.00882863998413086;0.008952617645263672
obama is quite a good comedian check out his dinner speech on cnn very funny jokes;obama quite good comedian check dinner speech cnn funny joke;0.65;0.0;8.1;Positivo;0.00015497207641601562;0.008479118347167969;0.008634090423583984
barack obama shows his funny side gt gt great speech;barack obama show funny side gt gt great speech;0.69;0.0;8.09;Positivo;0.00016260147094726562;0.008131265640258789;0.008293867111206055
i like this guy barack obama shows his funny side gt gt;like guy barack obama show funny side gt gt;0.66;0.0;8.09;Positivo;0.00014162063598632812;0.008159160614013672;0.00830078125
obama s speech was pretty awesome last night;obama speech pretty awesome last night;0.65;0.0;8.1;Positivo;0.0001361370086669922;0.008333683013916016;0.008469820022583008
reading bill clinton fail obama win;reading bill clinton fail obama win;0.34;0.31;5.19;Neutro;0.00011444091796875;0.010567665100097656;0.010682106018066406
obama more popular than u s among arabs survey president barack obama s popularity in leading arab countries;obama popular u among arab survey president barack obama popularity leading arab country;0.37;0.0;6.85;Positivo;0.000102996826171875;0.011483192443847656;0.011586189270019531
obama s got jokes haha just got to watch a bit of his after dinner speech from last night i m in love with mr president;obama got joke haha got watch bit dinner speech last night love mr president;0.46;0.0;8.33;Positivo;0.00010561943054199219;0.009384632110595703;0.009490251541137695
lebron james got in a car accident i guess just heard it on evening news wow i cant believe it will he be ok;lebron james got car accident guess heard evening news wow cant believe ok;0.2;0.27;4.81;Neutro;0.00013184547424316406;0.009341239929199219;0.009473085403442383
is it me or is this the best the playoffs have been in years oh yea lebron and melo in the finals;best playoff year oh yea lebron melo final;0.38;0.0;6.99;Positivo;8.0108642578125e-05;0.01117563247680664;0.011255741119384766
no lebron is the best;lebron best;0.81;0.0;8.28;Positivo;9.036064147949219e-05;0.00892186164855957;0.009012222290039062
lebron is cool i like his personality he has good character;lebron cool like personality good character;0.72;0.0;8.14;Positivo;0.00013637542724609375;0.008272886276245117;0.008409261703491211
watching lebron highlights damn that niggas good;watching lebron highlight damn nigga good;0.48;0.24;5.65;Neutro;0.00013589859008789062;0.01049494743347168;0.01063084602355957
lebron is murdering shit;lebron murdering shit;0.0;0.89;1.73;Negativo;0.00011730194091796875;0.009047508239746094;0.009164810180664062
lebron is a monsta and he is only smh the world ain t ready;lebron monsta smh world ready;0.32;0.29;5.2;Neutro;0.00011157989501953125;0.010116100311279297;0.010227680206298828
when lebron is done in the nba he will probably be greater than kobe like u said kobe is good but there alot of good players;lebron done nba probably greater kobe like u said kobe good alot good player;0.55;0.0;8.27;Positivo;9.560585021972656e-05;0.009239912033081055;0.009335517883300781
kobe is good bt lebron has my vote;kobe good bt lebron vote;0.42;0.0;7.66;Positivo;0.00012350082397460938;0.011494874954223633;0.011618375778198242
kobe is the best in the world not lebron;kobe best world lebron;0.58;0.0;8.22;Positivo;0.00013685226440429688;0.00836324691772461;0.008500099182128906
world cup access damn that s a good look;world cup access damn good look;0.3;0.28;5.17;Neutro;8.58306884765625e-05;0.01007699966430664;0.010162830352783203
just bought my tickets for the fifa world cup in south africa its going to be a great summer;bought ticket fifa world cup south africa going great summer;0.31;0.0;6.2;Neutro;0.00011467933654785156;0.010980606079101562;0.011095285415649414
i have to go to booz allen hamilton for a hr meeting but then i get to go home;go booz allen hamilton hr meeting get go home;0.0;0.0;5.0;Neutro;0.00015091896057128906;0.014382123947143555;0.014533042907714844
the great indian tamasha truly will unfold from may the result day for indian general election;great indian tamasha truly unfold may result day indian general election;0.44;0.0;8.09;Positivo;0.00012946128845214844;0.011575460433959961;0.01170492172241211
i have the kindle i ve seen pictures of the dx but haven t seen it in person i love my kindle i m on it everyday;kindle seen picture dx seen person love kindle everyday;0.28;0.26;5.18;Neutro;0.00020432472229003906;0.00977468490600586;0.009979009628295898
such an awesome idea the continual learning program with a kindle;awesome idea continual learning program kindle;0.45;0.0;8.33;Positivo;0.00011754035949707031;0.009862899780273438;0.009980440139770508
ooooh what model are you getting i have the d and love love love love it;ooooh model getting love love love love;0.85;0.0;8.31;Positivo;0.00013566017150878906;0.00914764404296875;0.009283304214477539
the times of india the wonder that is india s election;time india wonder india election;0.0;0.0;5.0;Neutro;9.441375732421875e-05;0.014095306396484375;0.014189720153808594
good video from google on using search options;good video google using search option;0.37;0.0;6.85;Positivo;7.82012939453125e-05;0.01100015640258789;0.011078357696533203
lol ah my skin is itchy damn lawnmowing;lol ah skin itchy damn lawnmowing;0.26;0.45;4.61;Neutro;0.00015616416931152344;0.010687589645385742;0.010843753814697266
itchy back dont ya hate it;itchy back dont ya hate;0.37;0.26;5.45;Neutro;9.179115295410156e-05;0.010073184967041016;0.010164976119995117
stanford charity fashion show a top draw;stanford charity fashion show top draw;0.54;0.0;8.28;Positivo;0.00011324882507324219;0.009336709976196289;0.009449958801269531
stanford university s facebook profile is one of the most popular official university pages;stanford university facebook profile one popular official university page;0.26;0.0;5.81;Neutro;0.00011610984802246094;0.010754823684692383;0.010870933532714844
lyx is cool;lyx cool;0.7;0.0;8.1;Positivo;0.00011587142944335938;0.008057832717895508;0.008173704147338867
sooo dissapointed they sent danny gokey home you still rock danny my hometown hero yeah milrockee;sooo dissapointed sent danny gokey home still rock danny hometown hero yeah milrockee;0.34;0.0;6.49;Neutro;0.00018358230590820312;0.011463642120361328;0.011647224426269531
rt american idol fashion adam lambert tones down danny gokey cute;rt american idol fashion adam lambert tone danny gokey cute;0.25;0.0;5.74;Neutro;0.00011372566223144531;0.010349273681640625;0.01046299934387207
i love you danny gokey;love danny gokey;0.68;0.0;8.07;Positivo;0.00011157989501953125;0.008384943008422852;0.008496522903442383
so tired i didn t sleep well at all last night;tired sleep well last night;0.26;0.36;4.78;Neutro;0.00010919570922851562;0.010909080505371094;0.01101827621459961
boarding plane for san francisco in hour hr flight blech;boarding plane san francisco hour hr flight blech;0.0;0.0;5.0;Neutro;0.00011134147644042969;0.014479637145996094;0.014590978622436523
bonjour san francisco my back hurts from last night;bonjour san francisco back hurt last night;0.0;0.36;3.67;Neutro;0.000125885009765625;0.011398792266845703;0.011524677276611328
with my best girl for a few more hours in san francisco mmmmmfamily is wonderful;best girl hour san francisco mmmmmfamily wonderful;0.61;0.0;8.18;Positivo;0.0001685619354248047;0.010022878646850586;0.01019144058227539
f up big or go home aig;f big go home aig;0.0;0.0;5.0;Neutro;0.00015211105346679688;0.015128850936889648;0.015280961990356445
went to see the star trek movie last night very satisfying;went see star trek movie last night satisfying;0.3;0.0;6.11;Neutro;0.00012063980102539062;0.012247562408447266;0.012368202209472656
i can t wait going to see star trek tonight;wait going see star trek tonight;0.0;0.0;5.0;Neutro;0.00011920928955078125;0.015084028244018555;0.015203237533569336
star trek was as good as everyone said;star trek good everyone said;0.42;0.0;7.66;Positivo;0.00011801719665527344;0.012061595916748047;0.01217961311340332
am loving new malcolm gladwell book outliers;loving new malcolm gladwell book outlier;0.44;0.0;8.09;Positivo;0.00011515617370605469;0.011294364929199219;0.011409521102905273
i highly recommend malcolm gladwell s the tipping point my next audiobook will probably be one of his as well;highly recommend malcolm gladwell tipping point next audiobook probably one well;0.35;0.0;6.61;Neutro;9.72747802734375e-05;0.011039018630981445;0.011136293411254883
malcolm gladwell is a genius at tricking people into not realizing he s a fucking idiot;malcolm gladwell genius tricking people realizing fucking idiot;0.1;0.34;4.02;Neutro;9.870529174804688e-05;0.010768651962280273;0.01086735725402832
hey no offense but malcolm gladwell is a pretenious annoying cunt and he brings you down cant read his shit;hey offense malcolm gladwell pretenious annoying cunt brings cant read shit;0.16;0.44;4.02;Neutro;0.00011515617370605469;0.010491132736206055;0.01060628890991211
rt great article by malcolm gladwell;rt great article malcolm gladwell;0.51;0.0;8.31;Positivo;9.560585021972656e-05;0.009029388427734375;0.009124994277954102
i seriously underestimated malcolm gladwell i want to meet this dude;seriously underestimated malcolm gladwell want meet dude;0.14;0.42;3.9;Neutro;8.893013000488281e-05;0.010609626770019531;0.010698556900024414
i hate comcast right now everything is down cable internet amp phone ughh what am i to do;hate comcast right everything cable internet amp phone ughh;0.0;0.32;3.99;Neutro;0.00012159347534179688;0.010619640350341797;0.010741233825683594
comcast sucks;comcast suck;0.0;0.74;1.93;Negativo;8.177757263183594e-05;0.008824825286865234;0.00890660285949707
the day i never have to deal with comcast again will rank as one of the best days of my life;day never deal comcast rank one best day life;0.34;0.0;6.49;Neutro;0.00011324882507324219;0.011624574661254883;0.011737823486328125
did comcast fail again;comcast fail;0.0;0.78;1.89;Negativo;0.00011944770812988281;0.008477210998535156;0.008596658706665039
curses the twitter api limit;curse twitter api limit;0.0;0.54;1.68;Negativo;0.00012159347534179688;0.009186506271362305;0.009308099746704102
now i can see why dave winer screams about lack of twitter api its limitations and access throttles;see dave winer scream lack twitter api limitation access throttle;0.0;0.51;1.67;Negativo;0.00011610984802246094;0.009390830993652344;0.009506940841674805
arg twitter api is making me crazy;arg twitter api making crazy;0.0;0.38;3.48;Neutro;0.00010895729064941406;0.011462926864624023;0.011571884155273438
i m really loving the new search site wolfram alpha makes google seem so quaint;really loving new search site wolfram alpha make google seem quaint;0.29;0.0;6.03;Neutro;0.00015664100646972656;0.010622978210449219;0.010779619216918945
wolfram alpha sucks even for researchers the information provided is less than you can get from google or wikipedia totally useless;wolfram alpha suck even researcher information provided less get google wikipedia totally useless;0.0;0.35;3.76;Neutro;0.00014543533325195312;0.01158595085144043;0.011731386184692383
off to the nike factory;nike factory;0.0;0.0;5.0;Neutro;0.00012826919555664062;0.01463627815246582;0.014764547348022461
new nike muppet commercials are pretty cute why do we live together again;new nike muppet commercial pretty cute live together;0.51;0.0;8.31;Positivo;0.00011396408081054688;0.009058952331542969;0.009172916412353516
oh those are awesome i so wish they weren t owned by nike;oh awesome wish owned nike;0.69;0.0;8.09;Positivo;7.772445678710938e-05;0.008458137512207031;0.00853586196899414
awesome seeing the show friday at the shoreline amphitheatre never seen nin before can t wait;awesome seeing show friday shoreline amphitheatre never seen nin wait;0.31;0.0;6.2;Neutro;0.0001380443572998047;0.010821342468261719;0.010959386825561523
arhh it s weka bug and i spent almost two hours to find that out crappy me;arhh weka bug spent almost two hour find crappy;0.0;0.31;4.06;Neutro;0.00012564659118652344;0.010605812072753906;0.01073145866394043
hey bud np i do so love my d although i d love a d mkii more;hey bud np love although love mkii;0.73;0.0;8.16;Positivo;0.00011157989501953125;0.008211851119995117;0.008323431015014648
just got us a d for the office d;got u office;0.0;0.0;5.0;Neutro;0.00010061264038085938;0.014454126358032227;0.014554738998413086
just picked up my new canon d it s beautiful prepare for some seriously awesome photography;picked new canon beautiful prepare seriously awesome photography;0.54;0.12;6.52;Neutro;0.00013709068298339844;0.011361360549926758;0.011498451232910156
just got my new toy canon d love love love it;got new toy canon love love love;0.76;0.0;8.21;Positivo;0.00010180473327636719;0.00890803337097168;0.009009838104248047
learning about lambda calculus;learning lambda calculus;0.0;0.0;5.0;Neutro;0.0001308917999267578;0.014271259307861328;0.014402151107788086
i m moving to east palo alto;moving east palo alto;0.0;0.0;5.0;Neutro;0.00010991096496582031;0.014232158660888672;0.014342069625854492
atebits i just finished watching your stanford iphone class session i really appreciate it you rock;atebits finished watching stanford iphone class session really appreciate rock;0.25;0.0;5.74;Neutro;0.0001277923583984375;0.01071619987487793;0.010843992233276367
hi just saw your stanford talk and really liked your advice just saying hi from singapore yes the videos do get around;hi saw stanford talk really liked advice saying hi singapore yes video get around;0.33;0.0;6.39;Neutro;0.00015163421630859375;0.011106014251708984;0.011257648468017578
lakers tonight let s go;lakers tonight let go;0.0;0.0;5.0;Neutro;0.00012350082397460938;0.0149383544921875;0.01506185531616211
will the lakers kick the nuggets ass tonight;lakers kick nugget as tonight;0.0;0.0;5.0;Neutro;0.0001277923583984375;0.01476597785949707;0.014893770217895508
oooooooh north korea is in troubleeeee;oooooooh north korea troubleeeee;0.0;0.0;5.0;Neutro;0.00011467933654785156;0.014964818954467773;0.015079498291015625
wat the heck is north korea doing they just conducted powerful nuclear tests follow the link;wat heck north korea conducted powerful nuclear test follow link;0.24;0.0;5.68;Neutro;0.00012040138244628906;0.010759592056274414;0.010879993438720703
listening to obama friggin north korea;listening obama friggin north korea;0.0;0.0;5.0;Neutro;0.000133514404296875;0.014140844345092773;0.014274358749389648
i just realized we three monkeys in the white obama biden pelosi sarah palin;realized three monkey white obama biden pelosi sarah palin;0.0;0.0;5.0;Neutro;0.00013256072998046875;0.01460576057434082;0.014738321304321289
pelosi should stay in china and never come back;pelosi stay china never come back;0.0;0.0;5.0;Neutro;0.00011539459228515625;0.014285564422607422;0.014400959014892578
nancy pelosi gave the worst commencement speech i ve ever heard yes i m still bitter about this;nancy pelosi gave worst commencement speech ever heard yes still bitter;0.15;0.39;4.06;Neutro;0.00011229515075683594;0.010399580001831055;0.01051187515258789
ugh the amount of times these stupid insects have bitten me grr;ugh amount time stupid insect bitten grr;0.0;0.55;1.68;Negativo;0.00012063980102539062;0.009016036987304688;0.009136676788330078
prettiest insects ever pink katydids;prettiest insect ever pink katydid;0.48;0.0;8.33;Positivo;0.0001010894775390625;0.00969076156616211;0.009791851043701172
just got barraged by a horde of insects hungry for my kitchen light so scary;got barraged horde insect hungry kitchen light scary;0.0;0.31;4.06;Neutro;0.00016498565673828125;0.010674715042114258;0.010839700698852539
just had mcdonalds for dinner d it was goooood big mac meal;mcdonalds dinner goooood big mac meal;0.0;0.0;5.0;Neutro;0.00020432472229003906;0.014307737350463867;0.014512062072753906
ahh yes lol ima tell my hubby to go get me sum mcdonalds;ahh yes lol ima tell hubby go get sum mcdonalds;0.41;0.0;7.47;Positivo;0.00012135505676269531;0.011517524719238281;0.011638879776000977
stopped to have lunch at mcdonalds chicken nuggetssss yummmmmy;stopped lunch mcdonalds chicken nuggetssss yummmmmy;0.0;0.28;4.24;Neutro;0.00010323524475097656;0.01049494743347168;0.010598182678222656
could go for a lot of mcdonalds i mean a lot;could go lot mcdonalds mean lot;0.0;0.0;5.0;Neutro;0.00012373924255371094;0.01462411880493164;0.014747858047485352
my exam went good your prayers worked;exam went good prayer worked;0.42;0.0;7.66;Positivo;0.00012612342834472656;0.011680364608764648;0.011806488037109375
only one exam left and i am so happy for it d;one exam left happy;0.55;0.0;8.27;Positivo;0.00012946128845214844;0.008777618408203125;0.008907079696655273
math review im going to fail the exam;math review im going fail exam;0.0;0.41;3.16;Negativo;0.00012683868408203125;0.011420011520385742;0.011546850204467773
colin powell rocked yesterday on cbs cheney needs to shut the hell up and go home powell is a man of honor and served our country proudly;colin powell rocked yesterday cbs cheney need shut hell go home powell man honor served country proudly;0.27;0.18;5.49;Neutro;0.00010943412780761719;0.009840965270996094;0.009950399398803711
obviously not siding with cheney here;obviously siding cheney;0.0;0.0;5.0;Neutro;0.00011467933654785156;0.015316009521484375;0.015430688858032227
absolutely hilarious from;absolutely hilarious;0.75;0.0;8.19;Positivo;0.00011658668518066406;0.008521080017089844;0.008637666702270508
i never did thank you for including me in your top twitter authors you rock amp i new wave d;never thank including top twitter author rock amp new wave;0.0;0.32;3.99;Neutro;8.368492126464844e-05;0.010886192321777344;0.010969877243041992
rt awesome jquery reference book for coda webdesign;rt awesome jquery reference book coda webdesign;0.41;0.0;7.47;Positivo;0.00012421607971191406;0.011261224746704102;0.011385440826416016
i ve been sending e mails like crazy today to my contacts does anyone have a contact at goodby silverstein i d love to speak to them;sending e mail like crazy today contact anyone contact goodby silverstein love speak;0.37;0.13;6.29;Neutro;0.00010132789611816406;0.010856389999389648;0.010957717895507812
goodby silverstein s new site i enjoy it;goodby silverstein new site enjoy;0.44;0.0;8.09;Positivo;0.0001609325408935547;0.011741876602172852;0.011902809143066406
wow everyone at the google i o conference got free g s with a month of unlimited service;wow everyone google conference got free g month unlimited service;0.5;0.0;8.31;Positivo;9.34600830078125e-05;0.009557723999023438;0.00965118408203125
dood i got a free google android phone at the i o conference the g;dood got free google android phone conference g;0.35;0.0;6.61;Neutro;0.00013303756713867188;0.01180577278137207;0.011938810348510742
the g is amazing btw a huge improvement over the g;g amazing btw huge improvement g;0.9;0.0;8.33;Positivo;0.0001327991485595703;0.009771585464477539;0.00990438461303711
html demos lots of great stuff to come yes i m excited io googleio;html demo lot great stuff come yes excited io googleio;0.57;0.0;8.24;Positivo;0.00011563301086425781;0.00907754898071289;0.009193181991577148
yay happy place place place i love google;yay happy place place place love google;0.74;0.0;8.18;Positivo;0.00013566017150878906;0.00871896743774414;0.00885462760925293
googleio o d bringing d graphics to the browser very nice tbh funfun;googleio bringing graphic browser nice tbh funfun;0.32;0.0;6.29;Neutro;0.00012683868408203125;0.010761499404907227;0.010888338088989258
awesome viral marketing for funny people;awesome viral marketing funny people;0.7;0.0;8.1;Positivo;0.00011444091796875;0.008292913436889648;0.008407354354858398
saw night at the museum out of sheer desperation who is funding these movies;saw night museum sheer desperation funding movie;0.0;0.33;3.91;Neutro;0.0001246929168701172;0.011187314987182617;0.011312007904052734
night at the museum pretty furkin good;night museum pretty furkin good;0.67;0.0;8.07;Positivo;0.00013065338134765625;0.008024454116821289;0.008155107498168945
watching night at the museum giggling;watching night museum giggling;0.46;0.0;8.33;Positivo;0.00010228157043457031;0.009384870529174805;0.009487152099609375
back from seeing star trek and night at the museum star trek was amazing but night at the museum was eh;back seeing star trek night museum star trek amazing night museum eh;0.26;0.0;5.81;Neutro;0.00012803077697753906;0.012207746505737305;0.012335777282714844
just watched night at the museum so stinkin cute;watched night museum stinkin cute;0.43;0.0;7.86;Positivo;0.00015234947204589844;0.012002706527709961;0.01215505599975586
so night at the museum was awesome much better than part next weekend we ll see up;night museum awesome much better part next weekend see;0.5;0.0;8.31;Positivo;0.00011444091796875;0.009918928146362305;0.010033369064331055
saw the new night at the museum and i loved it next is to go see up in d;saw new night museum loved next go see;0.36;0.0;6.72;Positivo;0.00016164779663085938;0.012305021286010742;0.012466669082641602
it is a shame about gm what if they are forced to make only cars the white house thinks will sell what do you think;shame gm forced make car white house think sell think;0.0;0.43;2.91;Negativo;0.0001125335693359375;0.011647462844848633;0.01175999641418457
as u may have noticed not too happy about the gm situation nor aig lehman et al;u may noticed happy gm situation aig lehman et al;0.32;0.0;6.29;Neutro;0.00010895729064941406;0.010960817337036133;0.011069774627685547
gm good riddance sad though;gm good riddance sad though;0.32;0.34;5.04;Neutro;0.00011539459228515625;0.011394500732421875;0.011509895324707031
i will never buy a government motors vehicle until just recently i drove gm cars since when i bought a;never buy government motor vehicle recently drove gm car since bought;0.0;0.0;5.0;Neutro;0.00011229515075683594;0.014315128326416016;0.014427423477172852
having the old coca cola guy on the gm board is stupid has heck tcot ala;old coca cola guy gm board stupid heck tcot ala;0.0;0.27;4.3;Neutro;0.00011539459228515625;0.010535240173339844;0.010650634765625
rantsandraves the worst thing about gm concord pleasant hill martinez is the fucking uaw;rantsandraves worst thing gm concord pleasant hill martinez fucking uaw;0.21;0.27;4.86;Neutro;0.0001239776611328125;0.009561300277709961;0.009685277938842773
give a man a fish u feed him for the day teach him to fish u feed him for life buy him gm and u f k him over for good;give man fish u feed day teach fish u feed life buy gm u f k good;0.21;0.0;5.52;Neutro;0.00011777877807617188;0.011086702346801758;0.01120448112487793
the more i hear about this gm thing the more angry i get billions wasted more bullshit all for something like k employees and all the;hear gm thing angry get billion wasted bullshit something like k employee;0.13;0.52;3.71;Neutro;0.00011324882507324219;0.011585712432861328;0.01169896125793457
i own a gm car and it is junk as far as quality compared to a honda;gm car junk far quality compared honda;0.0;0.0;5.0;Neutro;0.00011777877807617188;0.015541553497314453;0.015659332275390625
sad day bankrupt gm;sad day bankrupt gm;0.0;0.77;1.91;Negativo;0.00011515617370605469;0.008027076721191406;0.008142232894897461
is upset about the whole gm thing life as i know it is so screwed up;upset whole gm thing life know screwed;0.0;0.54;1.68;Negativo;0.00010967254638671875;0.009572505950927734;0.009682178497314453
whoever is running time warner needs to be repeatedly raped by a rhino so they understand the consequences of putting out shitty cable svcs;whoever running time warner need repeatedly raped rhino understand consequence putting shitty cable svcs;0.0;0.41;3.16;Negativo;0.00011277198791503906;0.011320829391479492;0.011433601379394531
wftb joining a bit late my connection was down boo time warner;wftb joining bit late connection boo time warner;0.0;0.0;5.0;Neutro;0.00010609626770019531;0.01432943344116211;0.014435529708862305
cox or time warner cox is cheaper and gets a b on dslreports tw is more expensive and gets a c;cox time warner cox cheaper get b dslreports tw expensive get c;0.0;0.0;5.0;Neutro;0.00010633468627929688;0.014613628387451172;0.014719963073730469
i am furious with time warner and their phone promotions;furious time warner phone promotion;0.0;0.48;2.09;Negativo;0.00010752677917480469;0.012516260147094727;0.012623786926269531
just got home from chick fil a with the boys damn my internets down stupid time warner;got home chick fil boy damn internet stupid time warner;0.0;0.43;2.91;Negativo;0.00019216537475585938;0.011348724365234375;0.011540889739990234
could time warner cable suck more no;could time warner cable suck;0.0;0.42;3.04;Negativo;0.00011658668518066406;0.011126279830932617;0.011242866516113281
pissed at time warner for causin me to have slow internet problems;pissed time warner causin slow internet problem;0.0;0.58;1.7;Negativo;0.00015473365783691406;0.009212017059326172;0.009366750717163086
ummm having some time warner problems;ummm time warner problem;0.0;0.47;2.28;Negativo;0.00010585784912109375;0.011412620544433594;0.011518478393554688
you guys see this why does time warner have to suck so much ass really wish i could get u verse at my apartment;guy see time warner suck much as really wish could get u verse apartment;0.18;0.17;5.09;Neutro;0.00011134147644042969;0.010164976119995117;0.010276317596435547
rt the upside to time warner unhelpful phone operators superslow on site service crap that s not an upside;rt upside time warner unhelpful phone operator superslow site service crap upside;0.0;0.19;4.66;Neutro;0.00011539459228515625;0.01107168197631836;0.011187076568603516
rt new time warner slogan time warner where we make you long for the days before cable;rt new time warner slogan time warner make long day cable;0.0;0.0;5.0;Neutro;0.00010561943054199219;0.014335870742797852;0.014441490173339844
confirmed it s time warner s fault not facebook s that fb is taking about minutes to load so tempted to switch to verizon;confirmed time warner fault facebook fb taking minute load tempted switch verizon;0.0;0.2;4.62;Neutro;0.0001392364501953125;0.011763811111450195;0.011903047561645508
time warner epic fail;time warner epic fail;0.0;0.54;1.68;Negativo;0.00013518333435058594;0.009380340576171875;0.009515523910522461
i know how sad is that rt st day of hurricane season that s less scarey than govt taking over gm;know sad rt st day hurricane season less scarey govt taking gm;0.0;0.35;3.76;Neutro;8.702278137207031e-05;0.010867834091186523;0.010954856872558594
gm files bankruptcy not a good sign;gm file bankruptcy good sign;0.42;0.0;7.66;Positivo;0.00012493133544921875;0.011555910110473633;0.011680841445922852
yankees won mets lost its a good day;yankee mets lost good day;0.35;0.28;5.32;Neutro;0.00013899803161621094;0.010435819625854492;0.010574817657470703
my dentist appt today was actually quite enjoyable;dentist appt today actually quite enjoyable;0.39;0.0;7.14;Positivo;9.393692016601562e-05;0.011610984802246094;0.01170492172241211
i hate the effing dentist;hate effing dentist;0.0;0.65;1.78;Negativo;0.00011754035949707031;0.008491754531860352;0.008609294891357422
i hate going to the dentist;hate going dentist;0.0;0.65;1.78;Negativo;9.584426879882812e-05;0.008469820022583008;0.008565664291381836
i hate the dentist who invented them anyways;hate dentist invented anyways;0.0;0.55;1.68;Negativo;8.821487426757812e-05;0.00908207893371582;0.009170293807983398
this dentist s office is cold;dentist office cold;0.0;0.0;5.0;Neutro;0.00011396408081054688;0.01469874382019043;0.014812707901000977
just applied at safeway yeeeee;applied safeway yeeeee;0.0;0.0;5.0;Neutro;0.00012254714965820312;0.01600360870361328;0.016126155853271484
safeway place is a nightmare right now bumming;safeway place nightmare right bumming;0.0;0.0;5.0;Neutro;0.0002033710479736328;0.015201568603515625;0.015404939651489258
hate safeway select green tea icecream bought two cartons what a waste of money gt _ lt;hate safeway select green tea icecream bought two carton waste money gt _ lt;0.11;0.35;3.98;Neutro;0.000164031982421875;0.011513948440551758;0.011677980422973633
nike rocks i m super grateful for what i ve done with them amp the european division of nike is beyond;nike rock super grateful done amp european division nike beyond;0.46;0.0;8.33;Positivo;0.0001239776611328125;0.00916433334350586;0.009288311004638672
have you tried nike v addictive;tried nike v addictive;0.0;0.0;5.0;Neutro;8.96453857421875e-05;0.01551961898803711;0.015609264373779297
the nike training club beta iphone app looks very interesting;nike training club beta iphone app look interesting;0.28;0.0;5.95;Neutro;0.00018787384033203125;0.01111602783203125;0.011303901672363281
argghhhh why won t my jquery appear in safari bad safari;argghhhh jquery appear safari bad safari;0.0;0.41;3.16;Negativo;0.00016427040100097656;0.01128077507019043;0.011445045471191406
i m ready to drop the pretenses i am forever in love with jquery and i want to marry it sorry ladies this nerd is jquery spokenfor js;ready drop pretense forever love jquery want marry sorry lady nerd jquery spokenfor j;0.39;0.27;5.45;Neutro;0.00011372566223144531;0.01025080680847168;0.010364532470703125
super investors a great weekend read here from warren buffet oldie but a goodie;super investor great weekend read warren buffet oldie goodie;0.53;0.0;8.29;Positivo;0.0001494884490966797;0.009274721145629883;0.009424209594726562
reading michael palin book the python years great book i also recommend warren buffet amp nelson mandela s bio;reading michael palin book python year great book also recommend warren buffet amp nelson mandela bio;0.32;0.0;6.29;Neutro;0.00012302398681640625;0.011137247085571289;0.011260271072387695
